Date,INDUSINDBK,BRITANNIA,ASIANPAINT,JSWSTEEL
2017-02-01,1307.75,3234.75,991.0,197.3
2017-02-02,1284.0,3231.0,989.0,193.9
2017-02-03,1303.2,3230.85,985.9,191.65
2017-02-06,1317.05,3285.0,992.5,192.35
2017-02-07,1324.25,3230.6,999.3,189.0
2017-02-08,1319.25,3233.0,997.7,189.3
2017-02-09,1304.0,3225.95,1002.85,193.65
2017-02-10,1322.5,3239.35,993.05,193.25
2017-02-13,1339.65,3271.7,984.75,187.75
2017-02-14,1330.4,3224.45,980.8,181.85
2017-02-15,1316.45,3194.35,981.7,183.3
2017-02-16,1319.5,3230.75,969.9,187.45
2017-02-17,1338.05,3247.75,960.8,184.9
2017-02-20,1336.45,3256.9,975.75,188.3
2017-02-21,1331.2,3239.05,991.5,186.95
2017-02-22,1326.55,3238.7,1020.3,185.0
2017-02-23,1340.75,3227.0,1009.0,186.95
2017-02-27,1319.3,3259.1,1001.95,185.3
2017-02-28,1312.6,3229.4,1024.2,186.95
2017-03-01,1326.2,3181.0,1032.75,189.8
2017-03-02,1306.45,3114.15,1028.75,183.5
2017-03-03,1299.2,3096.75,1013.7,184.0
2017-03-06,1319.7,3086.0,1029.4,184.85
2017-03-07,1330.75,3059.15,1023.95,181.45
2017-03-08,1327.35,3085.4,1022.55,178.05
2017-03-09,1326.3,3078.6,1031.1,176.85
2017-03-10,1335.75,3122.5,1030.25,176.25
2017-03-14,1354.2,3176.75,1071.4,181.9
2017-03-15,1348.35,3190.25,1064.05,183.5
2017-03-16,1376.55,3225.05,1087.55,192.45
2017-03-17,1383.55,3247.55,1079.45,192.0
2017-03-20,1379.6,3251.75,1079.7,194.1
2017-03-21,1390.25,3294.35,1068.7,192.4
2017-03-22,1376.6,3325.75,1057.85,186.7
2017-03-23,1383.9,3295.75,1061.6,186.85
2017-03-24,1389.55,3298.15,1064.25,186.8
2017-03-27,1402.1,3304.1,1042.9,179.45
2017-03-28,1404.25,3339.55,1057.85,181.6
2017-03-29,1398.3,3391.4,1068.1,183.35
